發言日期,發言時間,公司代號,公司名稱,主旨,ret
2023-08-11,21:25:45,8092,建暐,董事會決議發行第四次有擔保轉換公司債,
2023-08-14,17:10:59,8488,吉源-KY,公告本公司董事會決議發行中華民國境內第一次有擔保轉換公司債,
2023-08-23,18:08:54,4971,IET-KY,公告本公司董事會決議發行中華民國境內第二次無擔保轉換公司債,
2023-08-30,18:59:44,1101,台泥,本公司董事會決議發行海外無擔保可轉換公司債,
2023-09-07,17:01:15,2368,金像電,公告董事會決議發行國內第二次無擔保可轉換公司債,
2023-10-04,17:16:04,8996,高力,"補充說明公告本公司董事會決議發行國內第四次無擔保
轉換公司債",
2023-11-06,18:45:49,6288,聯嘉,(補充公告)本公司董事會決議發行國內第四次無擔保可轉換公司債,
2023-11-14,16:33:37,3479,安勤,(補充公告)本公司董事會決議發行國內第三次無擔保轉換公司債,
2023-11-30,14:14:22,8092,建暐,董事會決議發行第四次有擔保轉換公司債( 內容:6.誤植更正),
2023-12-19,20:23:47,3207,耀勝,"公告本公司董事會決議發行國內第一次
無擔保轉換公司債",
2023-12-26,17:20:41,3272,東碩,"補充說明本公司112年11月09日公告董事會決議發行第三次
無擔保轉換公司債",
2024-03-12,16:51:36,5284,jpp-KY,"本公司董事會決議發行中華民國境內第三次無擔保
轉換公司債",
2024-03-13,17:44:16,3518,柏騰,公告本公司董事會決議發行113年國內第一次有擔保轉換公司債,
2024-03-18,10:40:38,8433,弘帆,更正董事會決議發行國內第二次無擔保轉換公司債(發行價格),
2024-04-12,15:49:04,8112,至上,本公司董事會決議發行國內第十次無擔保轉換公司債,
2024-05-08,19:41:00,6187,萬潤,公告董事會決議發行國內第五次無擔保轉換公司債,
2024-05-09,14:48:16,2528,皇普,"公告本公司董事會決議發行國內第三次有擔保轉換公司債及
國內第四次無擔保轉換公司債",
2024-05-09,15:49:11,4190,佐登-KY,本公司董事會決議發行中華民國境內第三次無擔保轉換公司債,
2024-05-14,17:01:06,2317,鴻海,"本公司董事會決議發行一百一十三年度海外第一次無擔保
轉換公司債",
2024-05-14,17:30:42,2376,技嘉,公告本公司董事會決議發行海外第四次無擔保轉換公司債,
2024-06-03,15:19:57,4542,科嶠,"公告本公司董事會決議發行國內
第一次無擔保轉換公司債",
2024-06-26,13:57:00,6629,泰金-KY,"本公司董事會決議發行中華民國境內第二次無擔保
轉換公司債",
2024-06-26,17:18:00,6584,南俊國際,"董事會決議發行國內第一次有擔保轉換公司債及
第二次無擔保轉換公司債",
2024-06-26,18:34:12,6680,鑫創電子,"董事會決議發行國內第一次無擔保
轉換公司債",
2024-07-02,20:09:12,1595,川寶,"公告本公司董事會決議發行國內
第二次無擔保轉換公司債",
2024-07-04,19:48:14,8171,天宇,"公告本公司董事會決議發行國內第四次有擔保轉換公司債
暨國內第五次無擔保轉換公司債",
2024-07-16,17:54:37,5608,四維航,本公司董事會決議發行國內第七次有擔保轉換公司債,
2024-07-16,15:44:23,3564,其陽,"公告董事會決議發行國內
第二次無擔保可轉換公司債",
